uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft,geometry
0,1,0,False,188703407,41.398,residential,1,25,900,3.7041936848000003,"LINESTRING (-122.2465302 37.8661529, -122.2470015 37.8661398)"
1,0,1,False,188703407,41.398,residential,1,25,900,3.7041936848000003,"LINESTRING (-122.2470015 37.8661398, -122.2465302 37.8661529)"
2,82,1,False,188703408,57.977,residential,1,25,900,5.1876428152,"LINESTRING (-122.2470015 37.8661398, -122.2476606 37.8661064)"
3,1166,1,False,5077756,80.056,service,1,30,900,5.969348954666668,"LINESTRING (-122.2470015 37.8661398, -122.2469933 37.866046, -122.2469787 37.8660203, -122.2468842 37.8658879, -122.2468012 37.8657645, -122.2466958 37.8656311, -122.2466596 37.8655853, -122.246596 37.8655048)"
4,1360,2,False,5149903,107.32,secondary,2,25,1200,9.602736032,"LINESTRING (-122.2433676 37.8609763, -122.2432806 37.8609784, -122.2432395 37.8609714, -122.2431745 37.8609587, -122.2431135 37.8609397, -122.2430702 37.8609236, -122.243018 37.8608958, -122.2429372 37.8608373, -122.2427672 37.8607051, -122.2425958 37.8605924, -122.2424865 37.8605437, -122.242392 37.8605162, -122.24234 37.8605105)"
5,7,2,False,188702003,66.828,secondary,1,25,600,5.9796090528,"LINESTRING (-122.2433676 37.8609763, -122.2435192 37.8609476, -122.2437478 37.8608777, -122.2439244 37.8608071, -122.2440549 37.860731)"
6,3,2,False,5149907,469.407,residential,1,30,900,35.001176486,"LINESTRING (-122.2433676 37.8609763, -122.2433662 37.8610521, -122.2433641 37.8611602, -122.2433817 37.8612552, -122.2434139 37.8613632, -122.2434622 37.8614564, -122.2437076 37.8617851, -122.2437476 37.8618448, -122.2438564 37.8620006, -122.2439093 37.8621005, -122.2440067 37.8622843, -122.24407 37.8624829, -122.2440814 37.8625588, -122.2440627 37.8626065, -122.2440308 37.8626422, -122.2439775 37.8626596, -122.2439155 37.8626655, -122.2438484 37.862657, -122.2437974 37.8626359, -122.2437492 37.8625999, -122.2436741 37.8624961, -122.2434648 37.8622314, -122.2433415 37.8621044, -122.2431939 37.8619921, -122.2430562 37.8619172, -122.2428918 37.8618484, -122.2424444 37.8616983, -122.2422471 37.8616321, -122.2420835 37.861611, -122.2419816 37.8616173, -122.2418662 37.8616385, -122.2417429 37.8616851, -122.2415714 37.8617972)"
7,1111,3,False,5149908,166.31800000000004,service,1,30,900,12.40144623066667,"LINESTRING (-122.2415714 37.8617972, -122.241944 37.8619413, -122.242341 37.8620747, -122.2426027 37.8621781, -122.2427272 37.8622356, -122.2428184 37.8623076, -122.2429043 37.862405, -122.242974 37.8625246, -122.2430169 37.8626506)"
8,1717,3,False,1174749164,57.527,residential,1,30,900,4.289481579333334,"LINESTRING (-122.2415714 37.8617972, -122.2412392 37.8620843, -122.2411206 37.8621723)"
9,2,3,False,5149907,469.407,residential,1,30,900,35.001176486,"LINESTRING (-122.2415714 37.8617972, -122.2417429 37.8616851, -122.2418662 37.8616385, -122.2419816 37.8616173, -122.2420835 37.861611, -122.2422471 37.8616321, -122.2424444 37.8616983, -122.2428918 37.8618484, -122.2430562 37.8619172, -122.2431939 37.8619921, -122.2433415 37.8621044, -122.2434648 37.8622314, -122.2436741 37.8624961, -122.2437492 37.8625999, -122.2437974 37.8626359, -122.2438484 37.862657, -122.2439155 37.8626655, -122.2439775 37.8626596, -122.2440308 37.8626422, -122.2440627 37.8626065, -122.2440814 37.8625588, -122.24407 37.8624829, -122.2440067 37.8622843, -122.2439093 37.8621005, -122.2438564 37.8620006, -122.2437476 37.8618448, -122.2437076 37.8617851, -122.2434622 37.8614564, -122.2434139 37.8613632, -122.2433817 37.8612552, -122.2433641 37.8611602, -122.2433662 37.8610521, -122.2433676 37.8609763)"
